MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000063 after 3700 iterations
res_norm = 0.000058 after 3800 iterations
Problem solved in 3814 iterations
res_norm = 0.011693 after 100 iterations
res_norm = 0.006520 after 200 iterations
res_norm = 0.004363 after 300 iterations
res_norm = 0.003179 after 400 iterations
res_norm = 0.002433 after 500 iterations
res_norm = 0.001925 after 600 iterations
res_norm = 0.001558 after 700 iterations
res_norm = 0.001284 after 800 iterations
res_norm = 0.001073 after 900 iterations
res_norm = 0.000908 after 1000 iterations
res_norm = 0.000775 after 1100 iterations
res_norm = 0.000667 after 1200 iterations
res_norm = 0.000579 after 1300 iterations
res_norm = 0.000506 after 1400 iterations
res_norm = 0.000445 after 1500 iterations
res_norm = 0.000393 after 1600 iterations
res_norm = 0.000349 after 1700 iterations
res_norm = 0.000311 after 1800 iterations
res_norm = 0.000279 after 1900 iterations
res_norm = 0.000251 after 2000 iterations
res_norm = 0.000226 after 2100 iterations
res_norm = 0.000205 after 2200 iterations
res_norm = 0.000186 after 2300 iterations
res_norm = 0.000169 after 2400 iterations
res_norm = 0.000154 after 2500 iterations
res_norm = 0.000141 after 2600 iterations
res_norm = 0.000129 after 2700 iterations
res_norm = 0.000118 after 2800 iterations
res_norm = 0.000109 after 2900 iterations
res_norm = 0.000100 after 3000 iterations
res_norm = 0.000092 after 3100 iterations
res_norm = 0.000085 after 3200 iterations
res_norm = 0.000079 after 3300 iterations
res_norm = 0.000073 after 3400 iterations
res_norm = 0.000067 after 3500 iterations
res_norm = 0.000063 after 3600 iterations
res_norm = 0.000058 after 3700 iterations
Problem solved in 3700 iterations
res_norm = 0.011632 after 100 iterations
res_norm = 0.006481 after 200 iterations
res_norm = 0.004346 after 300 iterations
res_norm = 0.003176 after 400 iterations
res_norm = 0.002440 after 500 iterations
res_norm = 0.001936 after 600 iterations
res_norm = 0.001572 after 700 iterations
res_norm = 0.001299 after 800 iterations
res_norm = 0.001089 after 900 iterations
res_norm = 0.000923 after 1000 iterations
res_norm = 0.000790 after 1100 iterations
res_norm = 0.000682 after 1200 iterations
res_norm = 0.000593 after 1300 iterations
res_norm = 0.000519 after 1400 iterations
res_norm = 0.000457 after 1500 iterations
res_norm = 0.000404 after 1600 iterations
res_norm = 0.000359 after 1700 iterations
res_norm = 0.000321 after 1800 iterations
res_norm = 0.000288 after 1900 iterations
res_norm = 0.000259 after 2000 iterations
res_norm = 0.000234 after 2100 iterations
res_norm = 0.000212 after 2200 iterations
res_norm = 0.000192 after 2300 iterations
res_norm = 0.000175 after 2400 iterations
res_norm = 0.000160 after 2500 iterations
res_norm = 0.000146 after 2600 iterations
res_norm = 0.000134 after 2700 iterations
res_norm = 0.000123 after 2800 iterations
